price,date
187.50,05/30/2018
187.90,05/29/2018
188.58,05/28/2018
188.58,05/25/2018
188.15,05/24/2018
188.36,05/23/2018
187.16,05/22/2018
187.63,05/21/2018
186.31,05/18/2018
186.99,05/17/2018
188.18,05/16/2018
186.44,05/15/2018
188.15,05/14/2018
188.59,05/11/2018
190.04,05/10/2018
187.36,05/09/2018
186.05,05/08/2018
185.16,05/07/2018
183.83,05/04/2018
176.89,05/03/2018
187.50,05/30/2018
187.90,05/29/2018
188.58,05/28/2018
188.58,05/25/2018
188.15,05/24/2018
188.36,05/23/2018
187.16,05/22/2018
187.63,05/21/2018
186.31,05/18/2018
186.99,05/17/2018
188.18,05/16/2018
186.44,05/15/2018
188.15,05/14/2018
188.59,05/11/2018
190.04,05/10/2018
187.36,05/09/2018
186.05,05/08/2018
185.16,05/07/2018
183.83,05/04/2018
176.89,05/03/2018
176.57,05/02/2018
169.10,05/01/2018
165.26,04/30/2018
162.32,04/27/2018
164.22,04/26/2018
163.65,04/25/2018
162.94,04/24/2018
165.24,04/23/2018
165.72,04/20/2018
172.80,04/19/2018
177.84,04/18/2018
178.24,04/17/2018
175.82,04/16/2018
174.73,04/13/2018
174.14,04/12/2018
172.44,04/11/2018
173.25,04/10/2018
170.05,04/09/2018
168.38,04/06/2018
172.80,04/05/2018
171.61,04/04/2018
168.39,04/03/2018
166.68,04/02/2018
167.78,03/30/2018
167.78,03/29/2018
166.48,03/28/2018
168.34,03/27/2018
172.77,03/26/2018
164.94,03/23/2018
168.85,03/22/2018
171.27,03/21/2018
175.24,03/20/2018
175.30,03/19/2018
178.02,03/16/2018
178.65,03/15/2018
178.44,03/14/2018
179.97,03/13/2018
181.72,03/12/2018
179.98,03/09/2018
176.94,03/08/2018
175.03,03/07/2018
176.67,03/06/2018
176.82,03/05/2018
176.21,03/02/2018
175.00,03/01/2018
178.12,02/28/2018
178.39,02/27/2018
178.97,02/26/2018
175.50,02/23/2018
172.50,02/22/2018
171.07,02/21/2018
171.85,02/20/2018
172.43,02/19/2018
172.43,02/16/2018
172.99,02/15/2018
167.37,02/14/2018
164.34,02/13/2018
162.71,02/12/2018
156.41,02/09/2018
155.15,02/08/2018
159.54,02/07/2018
163.03,02/06/2018
156.49,02/05/2018
160.50,02/02/2018
167.78,02/01/2018
167.43,01/31/2018
166.97,01/30/2018
167.96,01/29/2018
171.51,01/26/2018
171.11,01/25/2018
174.22,01/24/2018
177.04,01/23/2018
177.00,01/22/2018
178.46,01/19/2018
179.26,01/18/2018
179.10,01/17/2018
176.19,01/16/2018
177.09,01/15/2018
177.09,01/12/2018
175.28,01/11/2018
174.29,01/10/2018
174.33,01/09/2018
174.35,01/08/2018
175.00,01/05/2018
173.03,01/04/2018
172.23,01/03/2018
172.26,01/02/2018
169.23,01/01/2018
169.23,12/29/2017
171.08,12/28/2017
170.60,12/27/2017
170.57,12/26/2017
175.01,12/25/2017
175.01,12/22/2017
175.01,12/21/2017
174.35,12/20/2017
174.54,12/19/2017
176.42,12/18/2017
173.97,12/15/2017
172.22,12/14/2017
172.27,12/13/2017
171.70,12/12/2017
172.67,12/11/2017
169.37,12/08/2017
169.32,12/07/2017
169.01,12/06/2017
169.64,12/05/2017
169.80,12/04/2017
171.05,12/01/2017
171.85,11/30/2017
169.48,11/29/2017
173.07,11/28/2017
174.09,11/27/2017
174.97,11/24/2017
174.96,11/23/2017
174.96,11/22/2017
173.14,11/21/2017
169.98,11/20/2017
170.15,11/17/2017
171.10,11/16/2017
169.08,11/15/2017
171.34,11/14/2017
173.97,11/13/2017
174.67,11/10/2017
175.88,11/09/2017
176.24,11/08/2017
174.81,11/07/2017
174.25,11/06/2017
172.50,11/03/2017
168.11,11/02/2017
166.89,11/01/2017
169.04,10/31/2017
166.72,10/30/2017
163.05,10/27/2017
157.41,10/26/2017
156.41,10/25/2017
157.10,10/24/2017
156.17,10/23/2017
156.25,10/20/2017
155.98,10/19/2017
159.76,10/18/2017
160.47,10/17/2017
159.88,10/16/2017
156.99,10/13/2017
156.00,10/12/2017
156.55,10/11/2017
155.90,10/10/2017
155.84,10/09/2017
155.30,10/06/2017
155.39,10/05/2017
153.48,10/04/2017
154.48,10/03/2017
153.81,10/02/2017
154.12,09/29/2017
153.28,09/28/2017
154.23,09/27/2017
153.14,09/26/2017
150.55,09/25/2017
151.89,09/22/2017
153.39,09/21/2017
156.07,09/20/2017
158.73,09/19/2017
158.67,09/18/2017
159.88,09/15/2017
158.28,09/14/2017
159.65,09/13/2017
160.86,09/12/2017
161.50,09/11/2017
158.63,09/08/2017
161.26,09/07/2017
161.91,09/06/2017
162.08,09/05/2017
164.05,09/04/2017
164.05,09/01/2017
164.00,08/31/2017
163.35,08/30/2017
162.91,08/29/2017
161.47,08/28/2017
159.86,08/25/2017
159.27,08/24/2017
159.98,08/23/2017
159.78,08/22/2017
157.21,08/21/2017
157.50,08/18/2017
157.86,08/17/2017
160.95,08/16/2017
161.60,08/15/2017
159.85,08/14/2017
157.48,08/11/2017
155.32,08/10/2017
161.06,08/09/2017
160.08,08/08/2017
158.81,08/07/2017
156.39,08/04/2017
155.57,08/03/2017
157.14,08/02/2017
150.05,08/01/2017
148.73,07/31/2017
149.50,07/28/2017
150.56,07/27/2017
153.46,07/26/2017
152.74,07/25/2017
152.09,07/24/2017
150.27,07/21/2017
150.34,07/20/2017
